"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2022-07-02","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-03","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-04","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-05","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-07","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-08","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-10","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-11","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-12","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-13","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-14","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-15","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-16","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-17","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-18","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-19","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-21","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-22","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-23","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-24","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-25","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-26","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-27","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-28","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-29","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-01","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-06","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-09","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2022-07-20","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-02","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-03","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-04","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-05","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-06","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-07","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-09","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-10","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-11","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-12","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-13","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-15","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-16","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-18","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-20","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-21","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-23","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-24","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-25","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-26","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-27","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-28","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-01","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-08","2022","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2022-07-14","2022","07","NA","IMD GRID MODEL"
