"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2021-07-06","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-21","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-31","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-01","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-02","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-03","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-04","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-05","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-07","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-08","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-09","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-10","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-11","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-12","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-13","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-14","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-15","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-16","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-17","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-18","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-19","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-20","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-22","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-23","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-24","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-25","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-26","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-27","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-28","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-29","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2021-07-30","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-01","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-07","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-08","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-15","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-17","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-27","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-02","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-03","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-04","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-05","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-06","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-09","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-10","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-11","2021","07","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2021-07-12","2021","07","NA","IMD GRID MODEL"
